22 10:55:41.167 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17026 and customfield = 10601
22 10:55:41.168 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-73, ratio=0.0, pv=0.0, timeoriginal=115200
22 10:55:41.168 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 115200 where issue = 17140 and customfield = 10601
22 10:55:41.168 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-20, ratio=0.0, pv=0.0, timeoriginal=180
22 10:55:41.168 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 180 where issue = 16848 and customfield = 10601
22 10:55:41.169 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-21, ratio=0.0, pv=0.0, timeoriginal=300
22 10:55:41.169 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 300 where issue = 16849 and customfield = 10601
22 10:55:41.170 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-22, ratio=0.0, pv=0.0, timeoriginal=300
22 10:55:41.170 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 300 where issue = 16850 and customfield = 10601
22 10:55:41.171 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-23, ratio=0.0, pv=0.0, timeoriginal=300
22 10:55:41.172 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 300 where issue = 16851 and customfield = 10601
22 10:55:41.172 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-1, ratio=0.0, pv=0.0, timeoriginal=86400
22 10:55:41.172 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 86400 where issue = 16664 and customfield = 10601
22 10:55:41.173 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-3, ratio=0.0, pv=0.0, timeoriginal=288000
22 10:55:41.173 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 288000 where issue = 16666 and customfield = 10601
22 10:55:41.173 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-2, ratio=0.0, pv=0.0, timeoriginal=432000
22 10:55:41.173 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 432000 where issue = 16665 and customfield = 10601
22 10:55:41.174 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-5, ratio=0.0, pv=0.0, timeoriginal=144000
22 10:55:41.174 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 144000 where issue = 16668 and customfield = 10601
22 10:55:41.175 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-6, ratio=0.0, pv=0.0, timeoriginal=144000
22 10:55:41.175 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 144000 where issue = 16669 and customfield = 10601
22 10:55:41.175 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-11, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.176 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 16689 and customfield = 10601
22 10:55:41.176 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-70, ratio=0.0, pv=0.0, timeoriginal=432000
22 10:55:41.177 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 432000 where issue = 17116 and customfield = 10601
22 10:55:41.177 | INFO  | main  | EvStatJDBCTemplate$1:81    | CEP2, pkey=CEPB-222, ratio=1.1, pv=0.0, timeoriginal=57600
22 10:55:41.177 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 57600 where issue = 17187 and customfield = 10601
22 10:55:41.178 | INFO  | main  | EvStatJDBCTemplate$1:81    | FSC2, pkey=FSCB-10, ratio=0.0, pv=0.0, timeoriginal=120
22 10:55:41.178 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 120 where issue = 17189 and customfield = 10601
22 10:55:41.178 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-112, ratio=0.0, pv=0.0, timeoriginal=288000
22 10:55:41.178 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 288000 where issue = 17115 and customfield = 10601
22 10:55:41.179 | INFO  | main  | EvStatJDBCTemplate$1:81    | FSC2, pkey=FSCB-8, ratio=0.0, pv=0.0, timeoriginal=144000
22 10:55:41.179 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 144000 where issue = 16875 and customfield = 10601
22 10:55:41.180 | INFO  | main  | EvStatJDBCTemplate$1:81    | FSC2, pkey=FSCB-4, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.180 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 16833 and customfield = 10601
22 10:55:41.180 | INFO  | main  | EvStatJDBCTemplate$1:81    | FSC2, pkey=FSCB-6, ratio=0.0, pv=0.0, timeoriginal=600
22 10:55:41.180 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 600 where issue = 16866 and customfield = 10601
22 10:55:41.182 | INFO  | main  | EvStatJDBCTemplate$1:81    | FSC2, pkey=FSCB-1, ratio=0.0, pv=0.0, timeoriginal=144000
22 10:55:41.182 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 144000 where issue = 16826 and customfield = 10601
